"sample","lineage"
"NIC1257","LAC"
"NIC193","LAC"
"NIC249","LAC"
"NIC1355","LAC"
"NIC413","LAC"
"NIC1386","LAC"
"JU1849","LAC"
"NIC51","LAC"
"NIC1389","LAC"
"NIC1272","LAC"
"NIC1275","LAC"
"NIC1278","LAC"
"NIC1410","LAC"
"NIC929","LAC"
"NIC312","LAC"
"NIC925","LAC"
"NIC2362","LAC"
"NIC1393","LAC"
"NIC2373","LAC"
"NIC907","LAC"
"NIC2355","LAC"
"NIC489","LAC"
"NIC384","LAC"
"NIC1430","LAC"
"NIC469","LAC"
"NIC359","LAC"
"NIC444","LAC"
"NIC354","LAC"
"JU1870","LAC"
"NIC1252","LAC"
"NIC496","LAC"
"NIC85","LAC"
"NIC1290","LAC"
"NIC443","LAC"
"NIC56","LAC"
"NIC458","LAC"
"NIC55","LAC"
"NIC57","LAC"
"NIC387","LAC"
"NIC933","LAC"
"NIC909","LAC"
"NIC422","LAC"
"NIC927","LAC"
"NIC393","LAC"
"NIC1328","LAC"
"NIC955","LAC"
"NIC1382","LAC"
"NIC934","LAC"
"NIC1163","LAC"
"NIC1126","LAC"
"NIC1192","LAC"
"NIC1150","LAC"
"NIC1176","LAC"
"NIC1160","LAC"
"NIC1169","LAC"
"NIC1147","LAC"
"NIC1153","LAC"
"NIC1167","LAC"
"NIC1168","LAC"
"NIC1175","LAC"
"NIC1180","LAC"
"NIC1146","LAC"
"NIC1151","LAC"
"NIC1149","LAC"
"NIC1144","LAC"
"NIC1142","LAC"
"NIC1116","LAC"
"NIC1152","LAC"
"NIC1179","LAC"
"NIC1140","LAC"
"NIC203","LAC"
"QG3850","LAC"
"NIC1181","LAC"
"NIC1341","LAC"
"QG800","LAC"
"QG3793","LAC"
"NIC2375","LAC"
"NIC1432","LAC"
"NIC999","LAC"
"NIC2363","LAC"
"NIC942","LAC"
"NIC1384","LAC"
"NIC972","LAC"
"NIC2371","LAC"
"NIC958","LAC"
"NIC1033","LAC"
"NIC1005","LAC"
"NIC962","LAC"
"NIC975","LAC"
"NIC977","LAC"
"NIC1338","LAC"
"NIC989","LAC"
"NIC983","LAC"
"NIC939","LAC"
"NIC941","LAC"
"NIC2364","LAC"
"NIC2360","LAC"
"NIC917","LAC"
"NIC2366","LAC"
"NIC2367","LAC"
"NIC2365","LAC"
"NIC2368","LAC"
"NIC2357","LAC"
"NIC1425","LAC"
"NIC916","LAC"
"NIC1383","LAC"
"QG3024","LAC"
"QG3546","LAC"
"QG3812","LAC"
"QG3873","LAC"
"QG3824","LAC"
"QG3862","LAC"
"QG3805","LAC"
"QG3526","LAC"
"NIC363","LAC"
"NIC417","LAC"
"NIC1433","LAC"
"NIC1376","LAC"
"NIC94","LAC"
"NIC459","LAC"
"NIC1476","LAC"
"JU1975","LAC"
"NIC1344","LAC"
"QG3789","LAC"
"NIC479","LAC"
"NIC903","LAC"
"NIC1478","LAC"
"NIC1359","LAC"
"NIC441","LAC"
"NIC1354","LAC"
"NIC284","LAC"
"NIC294","LAC"
"JU1850","LAC"
"JU1821","LAC"
"JU1851","LAC"
"NIC445","LAC"
"NIC475","LAC"
"JU1871","LAC"
"NIC286","LAC"
"NIC491","LAC"
"NIC1514","LAC"
"NIC1438","LAC"
"JU1836","LAC"
"NIC291","LAC"
"NIC1470","LAC"
"NIC91","LAC"
"JU1848","LAC"
"NIC468","LAC"
"NIC300","LAC"
"NIC1165","LAC"
"NIC988","LAC"
"NIC987","LAC"
"NIC986","LAC"
"NIC940","LAC"
"QG3821","LAC"
"NIC407","LAC"
"JU1838","LAC"
"NIC1395","LAC"
"NIC1422","LAC"
"NIC436","LAC"
"NIC404","LAC"
"NIC426","LAC"
"NIC424","LAC"
"NIC420","LAC"
"NIC1405","LAC"
"NIC1387","LAC"
"NIC952","LAC"
"NIC1038","LAC"
"NIC1381","LAC"
"NIC314","LAC"
"NIC1477","LAC"
"NIC99","LAC"
"JU1846","LAC"
"NIC58","LAC"
"JU1845","LAC"
"NIC461","LAC"
"NIC454","LAC"
"JU1819","LAC"
"NIC1277","LAC"
"NIC1400","LAC"
"NIC908","LAC"
"NIC1276","LAC"
"NIC1392","LAC"
"NIC1309","LAC"
"NIC1316","LAC"
"NIC1313","LAC"
"NIC1453","LAC"
"NIC1270","LAC"
"NIC1378","LAC"
"NIC492","LAC"
"JU1847","LAC"
"NIC280","LAC"
"NIC105","LAC"
"JU1428","LAC"
"NIC1415","LAC"
"NIC957","LAC"
"NIC904","LAC"
"NIC936","LAC"
"NIC391","LAC"
"NIC993","LAC"
"NIC450","LAC"
"NIC1254","LAC"
"NIC389","LAC"
"NIC1268","LAC"
"NIC1300","LAC"
"NIC478","LAC"
"NIC434","LAC"
"NIC322","LAC"
"NIC321","LAC"
"NIC425","LAC"
"NIC365","LAC"
"NIC1321","LAC"
"NIC408","LAC"
"NIC339","LAC"
"NIC1419","LAC"
"NIC1408","LAC"
"NIC1317","LAC"
"NIC1323","LAC"
"NIC1188","LAC"
"NIC1136","LAC"
"NIC1112","LAC"
"NIC1155","LAC"
"NIC1170","LAC"
"QG3535","LAC"
"QG3839","LAC"
"NIC1164","LAC"
"NIC1145","LAC"
"NIC1121","LAC"
"NIC1132","LAC"
"NIC1161","LAC"
"NIC1193","LAC"
"NIC1177","LAC"
"NIC1137","LAC"
"JU1835","LAC"
"QG3543","LAC"
"NIC1420","LAC"
"NIC1411","LAC"
"NIC1391","LAC"
"NIC344","LAC"
"NIC1337","LAC"
"NIC1343","LAC"
"NIC948","LAC"
"NIC926","LAC"
"NIC372","LAC"
"NIC1004","LAC"
"NIC311","LAC"
"NIC970","LAC"
"NIC382","LAC"
"NIC1012","LAC"
"NIC396","LAC"
"NIC947","LAC"
"NIC1016","LAC"
"NIC965","LAC"
"NIC416","LAC"
"NIC961","LAC"
"NIC964","LAC"
"NIC956","LAC"
"NIC938","LAC"
"NIC1000","LAC"
"NIC980","LAC"
"NIC959","LAC"
"NIC1307","LAC"
"NIC350","LAC"
"NIC1363","LAC"
"NIC994","LAC"
"NIC1372","LAC"
"NIC905","LAC"
"NIC953","LAC"
"NIC2361","LAC"
"NIC1028","LAC"
"NIC945","LAC"
"QG3547","LAC"
"QG2716","LAC"
"JU2505","LAC"
"QG840","LAC"
"QG942","LAC"
"JU1976","LAC"
"QG3871","LAC"
"QG3790","LAC"
"QG3529","LAC"
"QG3849","LAC"
"QG3533","LAC"
"QG3829","LAC"
"QG3817","LAC"
"QG3799","LAC"
"QG3809","LAC"
"QG3523","LAC"
"QG3877","LAC"
"QG3521","LAC"
"QG3843","LAC"
"QG3785","LAC"
"QG3811","LAC"
"QG3848","LAC"
"QG3808","LAC"
"QG3800","LAC"
"QG3786","LAC"
"QG3845","LAC"
"QG3852","LAC"
"QG3522","LAC"
"QG3834","LAC"
"QG3828","LAC"
"QG3831","LAC"
"QG3863","LAC"
"QG3807","LAC"
"QG3797","LAC"
"QG3872","LAC"
"QG3545","LAC"
"QG3795","LAC"
"QG3856","LAC"
"QG3818","LAC"
"QG853","LAC"
"QG3868","LAC"
"QG3539","LAC"
"QG3013","LAC"
"QG3037","LAC"
"QG935","LAC"
"QG3010","LAC"
"QG3038","LAC"
"QG3011","LAC"
"QG852","LAC"
"QG846","LAC"
"QG1000","LAC"
"QG987","LAC"
"QG848","LAC"
"QG981","LAC"
"QG850","LAC"
"QG3847","LAC"
"QG3009","LAC"
"QG2726","LAC"
"QG921","LAC"
"QG1004","LAC"
"QG836","LAC"
"QG845","LAC"
"QG834","LAC"
"QG2770","LAC"
"QG3055","LAC"
"QG2724","LAC"
"QG3008","LAC"
"QG841","LAC"
"QG3064","LAC"
"QG3514","LAC"
"QG823","LAC"
"QG3880","LAC"
"NIC1856","LAC"
"NIC944","LAC"
"NIC920","LAC"
"JU1635","LAC"
"NIC1293","LAC"
"NIC1305","LAC"
"NIC1301","LAC"
"NIC1862","LAC"
"NIC1879","LAC"
"NIC129","LAC"
"NIC540","LAC"
"NIC535","LAC"
"NIC551","LAC"
"JU2752","LAC"
"NIC1877","LAC"
"NIC1846","LAC"
"NIC124","LAC"
"NIC763","LAC"
"NIC751","LAC"
"NIC775","LAC"
"NIC589","LAC"
"NIC746","LAC"
"NIC575","LAC"
"NIC577","LAC"
"NIC587","LAC"
"NIC585","LAC"
"NIC591","LAC"
"NIC125","LAC"
"NIC247","LAC"
"NIC533","LAC"
"NIC749","LAC"
"NIC773","LAC"
"NIC1976","LAC"
"NIC1914","LAC"
"NIC1912","LAC"
"NIC1881","LAC"
"NIC1927","LAC"
"NIC114","LAC"
"NIC1929","LAC"
"NIC753","LAC"
"NIC1851","LAC"
"NIC1913","LAC"
"NIC1886","LAC"
"NIC1962","LAC"
"JU2750","LAC"
"EG5889","LAC"
"NIC1911","LAC"
"NIC1941","LAC"
"EG6180","LAC"
"NIC1157","LAC"
"NIC1156","LAC"
"NIC1939","LAC"
"NIC1658","Tw1"
"NIC1565","Tw1"
"NIC1596","Tw1"
"BRC20548","Tw1"
"NIC1585","Tw1"
"NIC1584","Tw1"
"NIC1583","Tw1"
"NIC1586","Tw1"
"NIC1587","Tw1"
"NIC1588","Tw1"
"NIC1603","Tw1"
"NIC1560","Tw2"
"NIC1694","Tw2"
"NIC1556","Tw2"
"TWN2103","Tw2"
"HPT56","Indo1"
"NIC1651","Tw3"
"NIC1543","Tw3"
"NIC1547","Tw3"
"NIC1559","Tw3"
"NIC1653","Tw3"
"BRC20400","Tw3"
"NIC1555","Tw3"
"NIC1561","Tw3"
"NIC1564","Tw3"
"NIC1551","Tw3"
"NIC1553","Tw3"
"NIC1557","Tw3"
"NIC1546","Tw3"
"NIC1545","Tw3"
"NIC1548","Tw3"
"NIC1542","Tw3"
"NIC1550","Tw3"
"NIC1544","Tw3"
"NIC1549","Tw3"
"BRC20464","Tw3"
"NIC517","Tw3"
"NIC1650","Tw3"
"NIC1647","Tw3"
"NIC1646","Tw3"
"NIC1649","Tw3"
"NIC1648","Tw3"
"NIC530","Tw3"
"NIC1541","Tw3"
"NIC1644","Tw3"
"NIC1657","Tw3"
"NIC1656","Tw3"
"HPT25","Indo2"
"HPT39","Indo2"
"NIC895","Tw4"
"NIC894","Tw4"
"NIC898","Tw4"
"QG4867","Mic1"
"QG5510","Mic1"
"QG4891","Mic1"
"QG4897","Mic1"
"QG4659","Mic1"
"QG4646","Mic1"
"QG4869","Mic1"
"QG4782","Mic1"
"QG5305","Mic1"
"QG4741","Mic1"
"QG4702","Mic1"
"QG4824","Mic1"
"QG4817","Mic1"
"QG5654","Mic1"
"QG4653","Mic1"
"QG5655","Mic1"
"QG4671","Mic1"
"QG4713","Mic1"
"QG5638","Mic1"
"QG5602","Mic1"
"QG4866","Mic1"
"QG5104","Mic1"
"QG4759","Mic1"
"QG4780","Mic1"
"QG4739","Mic1"
"QG5551","Mic2"
"QG5405","Mic2"
"QG5161","Mic2"
"QG5588","Mic2"
"QG5502","Mic2"
"QG5576","Mic2"
"QG5650","Mic2"
"QG5365","Mic2"
"QG4779","Mic2"
"QG4754","Mic2"
"QG5366","Mic2"
"QG5550","Mic2"
"QG5628","Mic2"
"QG5629","Mic2"
"QG5552","Mic2"
"QG5364","Mic2"
"QG4781","Mic2"
"QG5503","Mic2"
"QG4871","Mic2"
"QG4870","Mic2"
"QG4892","Mic2"
"QG4740","Mic2"
"QG4894","Mic2"
"QG4904","Mic2"
"QG4730","Mic2"
"QG5159","Mic2"
"QG5160","Mic2"
"QG5643","Mic2"
"QG5652","Mic2"
"QG4672","Mic2"
"QG4696","Mic2"
"QG4669","Mic2"
"QG4694","Mic2"
"QG4695","Mic2"
"QG5262","Mic2"
"QG4893","Mic2"
"QG4714","Mic2"
"QG4629","Mic2"
"QG5256","Mic2"
"QG5260","Mic2"
"QG4878","Mic2"
"QG5237","Mic2"
"QG5220","Mic2"
"QG5319","Mic2"
"NIC1950","HC"
"NIC1928","HC"
"NIC570","HC"
"NIC1855","HC"
"NIC572","HC"
"NIC571","HC"
"NIC1917","HC"
"NIC586","HC"
"NIC1915","HC"
"NIC1916","HC"
"NIC1919","HC"
"NIC1918","HC"
"NIC567","HC"
"NIC747","HC"
"NIC584","HC"
"ECA797","HC"
"ECA798","HC"
"ECA1312","HC"
"ECA1313","HC"
"ECA1311","HC"
"ECA799","HC"
"NIC192","HC"
"NIC122","HC"
"ECA791","HC"
"ECA792","HC"
"ECA2954","HC"
"ECA2955","HC"
"ECA2976","HC"
"ECA793","HC"
"ECA2909","HC"
"ECA3053","HC"
"ECA796","HC"
"QG131","HC"
"ECA790","HC"
"ECA794","HC"
"ECA803","Hw1"
"ECA804","Hw1"
"ECA801","Hw1"
"ECA802","Hw1"
"ECA800","Hw1"
"ECA1583","Hw1"
"ECA1581","Hw1"
"ECA1579","Hw1"
"ECA1585","Hw1"
"ECA805","Hw1"
"ECA2087","Hw1"
"ECA1599","Hw1"
"ECA1481","Hw1"
"ECA1603","Hw1"
"ECA2898","Hw1"
"ECA2910","Hw1"
"ECA2899","Hw1"
"ECA2900","Hw1"
"ECA2920","Hw1"
"ECA1309","Hw1"
"ECA1306","Hw1"
"ECA1310","Hw1"
"ECA1518","Hw1"
"BRC20391","Tw5"
"NIC1563","Tw5"
"QG2899","Au"
"QG2898","Au"
"QG2905","Au"
"QG2904","Au"
"QG2896","Au"
"QG2897","Au"
"NIC1592","Tw6"
"NIC1594","Tw6"
"ECA1449","Hw2"
"ECA1445","Hw2"
"ECA1447","Hw2"
"ECA1451","Hw2"
"ECA1453","Hw2"
"NIC1534","Af"
"NIC1531","Af"
"NIC1526","Af"
"ECA806","Af"
"JU1634","Af"
"JU1636","Af"
"JU1639","Af"
"JU1633","Af"
"JU1632","Af"
"JU1641","Af"
"JU1640","Af"
"JU1631","Af"
"JU1630","Af"
"JU1818","Af"
"JU1374","Af"
"JU1373","Af"
"JU1800","Af"
"JU3170","Af"
"HPT33","Indo3"
"NIC1679","Tw7"
"ECA1307","Hw3"
"ECA789","Hw3"
"ECA788","Hw3"
"ECA1304","Hw3"
"ECA1300","Hw3"
"ECA1405","Hw3"
"ECA1401","Hw3"
"ECA1403","Hw3"
"ECA1305","Hw3"
"ECA1302","Hw3"
"ECA1303","Hw3"
"ECA1301","Hw3"
"ECA1299","Hw3"
